 Lat, Lng,Uuid,Carrier_Code,Stop_Id, Stop_Name,Transit_Modes,Accessible,On_street,Street_direction,Cross_street,Relation_to_Cross_Street,Address,City,State,Zip,Shelter_Present,Seating_Present,Kiosk_Present,Public_Notes,Public_Imagry,Service_Location_Id,Prediction_Count,Dist,Service_Location_Name,Service_Location_UUID
36.866507,-119.766933,,,1874,NW SHEPHERD - MILLBROOK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.866485,-119.769711,,,1875,NE SHEPHERD - PERRIN,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.868717,-119.768712,,,1876,SW PERRIN - FOXHILL,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.870821,-119.762195,,,1878,SW CHAMPLAIN 1S,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.869047,-119.758476,,,1879,SW CHAMPLAIN - FOXHILL,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.866069,-119.756944,,,1880,SW CEDAR - SHEPHERD,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.862051,-119.756925,,,1881,SW CEDAR - NEWHAVEN,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.859349,-119.75729,,,1882,NW TEAGUE - CEDAR,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.859307,-119.763771,,,1883,NW TEAGUE - EIGHTH,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.855426,-119.765874,,,1885,NW MILLBROOK - OMAHA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.851904,-119.766206,,,1886,NW NEES - MILLBROOK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.85198,-119.778296,,,1888,NW NEES - CALLISCH,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.851976,-119.78193,,,1889,NW NEES - AUGUSTA,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.848293,-119.786621,,,1890,EL PASO WB,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.7904,-119.862256,,,1903,NE BRAWLEY - GRIFFITH,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.743193,-119.718896,,,1904,NW TULARE - PEACH,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.778706,-119.826445,,,1905,SE WEST - SHIELDS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.808863,-119.826274,,,1906,NE WEST - SHAW,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.772194,-119.794746,,,1907,SW CLINTON - SAN PABLO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.772202,-119.792919,,,1908,SE CLINTON - GLENN,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.728625,-119.777837,,,1909,NW BUTLER - N ST,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.736004,-119.72853,,,1910,WILLOW STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.732646,-119.796723,,,1912,SE FRESNO - F ST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.685036,-119.734351,,,1913,SE FRANK - MUSCAT,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794036,-119.776034,,,1914,SE ASHLAN - ANGUS,BUS,,,,,,,,CA,,TRUE,FALSE,FALSE,,,,,,,
36.801684,-119.754119,,,1916,NE CEDAR - GETTYSBURG,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.813685,-119.695516,,,1936,SW COLE - HOBLETT,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.808032,-119.887877,,,1937,SW SHAW - HIGHWAY 99,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.802308,-119.880539,,,1954,SW CORNELIA - MOBIL HOME PK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.729923,-119.80875,,,1955,NW TRINITY - OLEANDER,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.757391,-119.795132,,,1957,SW SAN PABLO - OLIVE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.743706,-119.781585,,,1958,NE FRESNO - DIVISADERO,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.834005,-119.908969,,,1961,SW RIVERSIDE - EL PASEO,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.832251,-119.898811,,,1962,NE VETERANS - WATHEN,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.836827,-119.816975,,,1965,SE HERNDON - FRUIT,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.837232,-119.780691,,,1975,SE HERNDON - FRESNO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.837144,-119.771749,,,1976,SE HERNDON - FIRST,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.734029,-119.779832,,,1978,SW VENTURA - P ST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.837482,-119.772735,,,1979,NW HERNDON - FIRST,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
